budget,size,seed,obj,acc,time,loss_bound,projects
200,0.01,0,3210.8200000000106,4087,127.0605571269989,10.5,"[13, 15, 45, 59]"
200,0.01,12,3928.5340000000124,5215,164.32003116607666,10.5,"[13, 20, 60, 67]"
200,0.01,23,3659.783000000012,4979,102.58864998817444,10.5,"[13, 16, 60, 67]"
200,0.01,34,3573.990999999991,4987,96.47427082061768,10.5,"[15, 21, 26, 27]"
200,0.01,45,4021.3610000000026,5395,96.6159679889679,10.5,"[21, 27, 60, 66]"
200,0.01,56,3989.018000000018,5253,183.12426805496216,10.5,"[13, 20, 22, 60]"
200,0.01,67,3585.04500000002,4759,124.73299312591553,10.5,"[13, 15, 16, 57]"
200,0.01,78,3928.5340000000124,5215,121.17702007293701,10.5,"[13, 20, 60, 67]"
200,0.01,89,3659.783000000012,4979,90.85020089149475,10.5,"[13, 16, 60, 67]"
200,0.01,90,3659.783000000012,4979,163.52067303657532,10.5,"[13, 16, 60, 67]"
200,0.03,0,4326.347000000007,5771,289.79105496406555,42.0,"[21, 22, 66, 68]"
200,0.03,12,4195.238000000019,5413,366.3148171901703,42.0,"[12, 13, 22, 60]"
200,0.03,23,4326.347000000007,5771,367.39984107017517,42.0,"[21, 22, 66, 68]"
200,0.03,34,4326.347000000007,5771,373.1184561252594,42.0,"[21, 22, 66, 68]"
200,0.03,45,4217.580000000022,5485,316.2639009952545,42.0,"[13, 15, 16, 50]"
200,0.03,56,4021.3610000000026,5395,307.378919839859,42.0,"[21, 27, 60, 66]"
200,0.03,67,4010.778000000013,5318,323.3357980251312,42.0,"[13, 22, 60, 68]"
200,0.03,78,4077.1400000000176,5367,425.78834891319275,42.0,"[13, 21, 22, 68]"
200,0.03,89,4233.696000000016,5312,250.74782586097717,42.0,"[13, 45, 50, 60]"
200,0.03,90,4076.8040000000165,5304,299.7458927631378,42.0,"[13, 22, 45, 60]"
200,0.05,0,3761.9590000000026,5058,502.3519768714905,70.4,"[15, 21, 22, 68]"
200,0.05,12,3872.9740000000093,5013,516.3111379146576,70.4,"[13, 50, 60, 68]"
200,0.05,23,4326.347000000007,5771,447.8480987548828,70.4,"[21, 22, 66, 68]"
200,0.05,34,3854.0320000000265,5366,411.77282881736755,70.4,"[15, 21, 27, 53]"
200,0.05,45,3619.1370000000043,4963,445.6340730190277,70.4,"[15, 22, 60, 61]"
200,0.05,56,4233.696000000016,5312,592.1864507198334,88.0,"[13, 45, 50, 60]"
200,0.05,67,4326.347000000007,5771,457.4152400493622,70.4,"[21, 22, 66, 68]"
200,0.05,78,3911.8140000000258,5491,341.5906927585602,70.4,"[15, 16, 21, 27]"
200,0.05,89,3911.8140000000258,5491,390.56301283836365,70.4,"[15, 16, 21, 27]"
200,0.05,90,4033.468999999981,5507,561.9998099803925,88.0,"[60, 66, 67, 68]"
200,0.08,0,4033.468999999981,5507,637.3722448348999,112.8,"[60, 66, 67, 68]"
200,0.08,12,3854.0320000000265,5366,602.6417670249939,112.8,"[15, 21, 27, 53]"
200,0.08,23,3911.8140000000258,5491,540.0756371021271,112.8,"[15, 16, 21, 27]"
200,0.08,34,4326.347000000007,5771,695.2040057182312,112.8,"[21, 22, 66, 68]"
200,0.08,45,3761.9590000000026,5058,947.8832569122314,112.8,"[15, 21, 22, 68]"
200,0.08,56,4326.347000000007,5771,573.0412542819977,112.8,"[21, 22, 66, 68]"
200,0.08,67,4326.347000000007,5771,563.687607049942,112.8,"[21, 22, 66, 68]"
200,0.08,78,4326.347000000007,5771,545.0353679656982,112.8,"[21, 22, 66, 68]"
200,0.08,89,4326.347000000007,5771,746.037850856781,112.8,"[21, 22, 66, 68]"
200,0.08,90,4326.347000000007,5771,640.6669108867645,112.8,"[21, 22, 66, 68]"
200,0.1,0,4326.347000000007,5771,1021.7445042133331,140.8,"[21, 22, 66, 68]"
200,0.1,12,3911.8140000000258,5491,904.8284857273102,140.8,"[15, 16, 21, 27]"
200,0.1,23,4326.347000000007,5771,1310.8040120601654,140.8,"[21, 22, 66, 68]"
200,0.1,34,4326.347000000007,5771,955.3291630744934,140.8,"[21, 22, 66, 68]"
200,0.1,45,4326.347000000007,5771,1371.6593952178955,140.8,"[21, 22, 66, 68]"
200,0.1,56,4199.5250000000215,5630,1203.314092874527,140.8,"[13, 15, 16, 22]"
200,0.1,67,4199.5250000000215,5630,1338.029469013214,140.8,"[13, 15, 16, 22]"
200,0.1,78,4199.5250000000215,5630,1213.15203499794,140.8,"[13, 15, 16, 22]"
200,0.1,89,4195.238000000019,5413,1343.040519952774,140.8,"[12, 13, 22, 60]"
200,0.1,90,4326.347000000007,5771,1334.2053592205048,140.8,"[21, 22, 66, 68]"
300,0.01,0,4864.668999999991,5955,283.0933530330658,10.5,"[13, 15, 20, 26, 32, 45]"
300,0.01,12,5785.055000000015,7175,157.481299161911,10.5,"[12, 13, 21, 22, 45, 66]"
300,0.01,23,6099.00000000004,7665,195.1025710105896,10.5,"[13, 15, 16, 21, 27, 66]"
300,0.01,34,5737.173999999975,7652,127.9156551361084,10.5,"[15, 21, 26, 27, 32, 75]"
300,0.01,45,6099.00000000004,7665,110.46819305419922,10.5,"[13, 15, 16, 21, 27, 66]"
300,0.01,56,6099.00000000004,7665,116.36214303970337,10.5,"[13, 15, 16, 21, 27, 66]"
300,0.01,67,5564.616000000036,7139,220.31798195838928,10.5,"[12, 13, 15, 16, 21, 22]"
300,0.01,78,6099.00000000004,7665,207.8477268218994,10.5,"[13, 15, 16, 21, 27, 66]"
300,0.01,89,5708.764000000023,7162,215.32954597473145,10.5,"[13, 21, 22, 45, 50, 68]"
300,0.01,90,5638.134000000031,7274,190.81602597236633,10.5,"[12, 13, 15, 21, 27, 53]"
300,0.03,0,5589.502000000002,7291,637.1887440681458,31.5,"[12, 21, 22, 66, 68, 73]"
300,0.03,12,5236.5370000000075,6871,1619.3712277412415,31.5,"[21, 22, 27, 35, 66, 68]"
300,0.03,23,6029.560000000014,7475,772.8678598403931,31.5,"[15, 21, 22, 27, 66, 68]"
300,0.03,34,6158.131000000023,7840,557.3588700294495,31.5,"[13, 21, 22, 66, 68, 73]"
300,0.03,45,6029.560000000014,7475,675.0321431159973,31.5,"[15, 21, 22, 27, 66, 68]"
300,0.03,56,5782.989000000014,7722,1692.124357700348,31.5,"[6, 15, 16, 21, 27, 79, 80]"
300,0.03,67,5537.263000000008,6958,617.0057725906372,31.5,"[13, 22, 45, 50, 60, 68]"
300,0.03,78,4852.192999999992,6606,584.0525498390198,31.5,"[21, 22, 26, 27, 35, 68]"
300,0.03,89,5791.912000000013,7455,767.671881198883,31.5,"[21, 22, 27, 45, 66, 68]"
300,0.03,90,6029.560000000014,7475,616.1299011707306,31.5,"[15, 21, 22, 27, 66, 68]"
300,0.05,0,6127.2570000000305,7640,2403.7715768814087,70.4,"[12, 13, 21, 22, 66, 68]"
300,0.05,12,6094.034000000023,7602,2290.7783529758453,70.4,"[13, 21, 22, 45, 66, 68]"
300,0.05,23,6029.560000000014,7475,1600.548670053482,70.4,"[15, 21, 22, 27, 66, 68]"
300,0.05,34,6029.560000000014,7475,1497.2855269908905,70.4,"[15, 21, 22, 27, 66, 68]"
300,0.05,45,6029.560000000014,7475,1686.7189440727234,70.4,"[15, 21, 22, 27, 66, 68]"
300,0.05,56,5708.764000000023,7162,2962.4770419597626,70.4,"[13, 21, 22, 45, 50, 68]"
300,0.05,67,6029.560000000014,7475,2436.9264471530914,70.4,"[15, 21, 22, 27, 66, 68]"
300,0.05,78,6029.560000000014,7475,2316.8880381584167,70.4,"[15, 21, 22, 27, 66, 68]"
