budget,job_acc,projects
120,50480775,"[12, 58, 76, 79, 86, 88, 118, 121, 148, 161, 182, 190, 191, 211, 212, 227, 333, 350, 374, 409, 416, 430, 510, 559, 745, 837, 901, 925, 993, 994, 995, 998, 1015, 1017, 1043, 1044, 1070, 1073, 1093, 1196, 1217, 1247, 1264]"
200,67916860,"[12, 13, 18, 31, 58, 76, 79, 118, 148, 161, 227, 250, 260, 269, 333, 350, 369, 374, 409, 422, 430, 478, 485, 488, 569, 644, 686, 699, 708, 709, 726, 734, 736, 747, 751, 831, 834, 837, 838, 901, 918, 919, 925, 942, 944, 993, 994, 996, 997, 1004, 1009, 1014, 1015, 1027, 1034, 1043, 1044, 1052, 1070, 1093, 1134, 1183, 1204, 1212, 1217, 1221, 1248, 1249, 1251, 1252, 1256, 1263, 1264, 1273, 1274, 1283]"
400,86760455,"[12, 13, 18, 31, 39, 58, 76, 79, 86, 149, 161, 190, 191, 193, 212, 227, 269, 328, 350, 374, 376, 421, 463, 465, 477, 478, 485, 509, 513, 559, 560, 569, 598, 599, 600, 617, 619, 620, 630, 684, 685, 694, 698, 699, 708, 709, 726, 734, 743, 767, 780, 834, 835, 837, 839, 901, 908, 925, 937, 943, 967, 977, 978, 994, 995, 996, 997, 1014, 1015, 1024, 1034, 1043, 1044, 1052, 1055, 1084, 1156, 1158, 1220, 1247, 1248, 1249, 1251, 1264]"
80,62338800,"[76, 79, 86, 88, 147, 149, 161, 182, 227, 328, 333, 334, 374, 377, 409, 416, 559, 709, 837, 901, 925, 993, 994, 996, 1014, 1015, 1043, 1044, 1073, 1093, 1162, 1217, 1247, 1279]"
40,43669310,"[76, 148, 149, 161, 227, 328, 333, 334, 377, 409, 416, 837, 901, 925, 1014, 1073, 1162, 1217, 1221, 1239, 1247, 1251, 1252, 1279]"
160,72487805,"[18, 76, 79, 86, 88, 147, 148, 149, 161, 182, 190, 191, 212, 227, 259, 328, 350, 351, 356, 374, 376, 409, 416, 430, 478, 485, 630, 644, 699, 709, 751, 834, 901, 925, 942, 944, 967, 993, 994, 995, 996, 1014, 1015, 1024, 1043, 1044, 1093, 1158, 1217, 1251, 1279, 1283]"
240,78878815,"[12, 13, 18, 53, 59, 72, 76, 118, 156, 161, 211, 212, 217, 227, 249, 262, 269, 350, 351, 353, 354, 356, 368, 369, 374, 413, 430, 465, 478, 485, 509, 510, 519, 521, 569, 600, 630, 632, 643, 655, 677, 698, 708, 709, 727, 732, 751, 754, 813, 837, 894, 901, 908, 917, 918, 919, 920, 925, 937, 942, 944, 978, 993, 994, 995, 997, 1009, 1014, 1015, 1033, 1035, 1043, 1044, 1061, 1093, 1143, 1156, 1158, 1163, 1171, 1203, 1217, 1239, 1249, 1251, 1252, 1256, 1264, 1279, 1283, 1284]"
360,65146970,"[12, 13, 18, 76, 79, 147, 148, 161, 167, 180, 212, 227, 229, 269, 328, 348, 350, 351, 374, 409, 416, 421, 477, 478, 485, 596, 598, 599, 600, 609, 629, 694, 698, 699, 708, 709, 834, 901, 908, 925, 937, 977, 993, 994, 995, 996, 997, 1009, 1014, 1015, 1024, 1043, 1044, 1072, 1125, 1158, 1163, 1186, 1207, 1247, 1251]"
280,86995790,"[12, 13, 18, 38, 59, 76, 79, 86, 88, 161, 164, 182, 218, 222, 227, 250, 259, 262, 348, 351, 355, 374, 376, 409, 430, 464, 485, 509, 538, 560, 569, 586, 600, 609, 619, 625, 630, 640, 684, 685, 694, 708, 709, 717, 726, 734, 743, 833, 838, 839, 901, 912, 917, 918, 919, 925, 994, 995, 996, 1000, 1014, 1043, 1070, 1073, 1158, 1211, 1217, 1220, 1236, 1242, 1247, 1248, 1251, 1264, 1279]"
320,105822150,"[12, 13, 18, 58, 59, 71, 76, 79, 86, 88, 115, 147, 148, 156, 161, 190, 191, 212, 227, 269, 313, 328, 342, 350, 351, 367, 374, 409, 416, 421, 430, 431, 463, 465, 478, 485, 490, 504, 538, 558, 569, 576, 654, 686, 695, 698, 699, 709, 735, 743, 746, 756, 780, 783, 865, 901, 908, 909, 912, 918, 919, 925, 937, 944, 967, 976, 977, 993, 994, 995, 996, 1000, 1014, 1024, 1034, 1043, 1044, 1073, 1090, 1093, 1103, 1143, 1158, 1162, 1202, 1210, 1239, 1248, 1251, 1273]"
